Occupation,occupation_group_name,Experience,Web Development,General-Purpose Programming,Databases and Data Manipulation,Scientific and Mathematical Computing,Not interested in programming,Product Owner,Java,Python,C#,TypeScript,JavaScript,C++,Go,C,CSS,HTML,PHP,MATLAB,R,SQL,NoSQL,SQLite
Frontend-utvecklare,Mjukvaru- och systemutvecklare m.fl.,3.7848292640542183,0.8463810930576071,0.345642540620384,0.047267355982274745,0.025110782865583457,0.0206794682422452,1.4283604135893648,0.0206794682422452,0.007385524372230428,0.025110782865583457,0.5642540620384048,0.14623338257016247,0.004431314623338257,0.007385524372230428,0.0,0.13146233382570163,0.10044313146233383,0.007385524372230428,0.0,0.0,0.01624815361890694,0.0,0.0
Helpdesktekniker/Supporttekniker,"Supporttekniker, IT",1.4047826236796304,0.08013544018058691,0.24548532731376976,0.09142212189616253,0.03216704288939052,0.6388261851015802,1.0304740406320543,0.001128668171557562,0.000564334085778781,0.0,0.0,0.0028216704288939053,0.0,0.005079006772009029,0.0,0.001693002257336343,0.003386004514672686,0.0,0.0,0.0,0.022573363431151242,0.0,0.0
Systemutvecklare/Programmerare,Mjukvaru- och systemutvecklare m.fl.,3.09962522679033,0.42141671278361925,0.7620365246264527,0.2097399003873824,0.10763696734919756,0.08052019922523519,1.2053126729385721,0.13198671831765357,0.13115661317100166,0.08605423353624793,0.029883785279468732,0.062257885998893196,0.03597122302158273,0.016602102933038185,0.019092418372993913,0.026009961261759824,0.025179856115107913,0.014111787493082457,0.005810736026563365,0.00387382401770891,0.08771444382955175,0.008854454897620365,0.0
Systemtestare,Systemtestare och testledare,1.8654545454545455,0.2353846153846154,0.7261538461538461,0.09692307692307692,0.10923076923076923,0.13538461538461538,1.3092307692307692,0.04,0.08153846153846153,0.08,0.003076923076923077,0.016923076923076923,0.006153846153846154,0.015384615384615385,0.007692307692307693,0.0,0.003076923076923077,0.0,0.0015384615384615385,0.0015384615384615385,0.021538461538461538,0.0,0.0
"Projektledare, IT",Mjukvaru- och systemutvecklare m.fl.,2.350448654037886,0.1814556331006979,0.3200398803589232,0.13060817547357925,0.10069790628115653,0.5383848454636092,2.0019940179461617,0.0029910269192422734,0.003988035892323031,0.0009970089730807576,0.0019940179461615153,0.004985044865403789,0.0,0.01694915254237288,0.0009970089730807576,0.004985044865403789,0.0009970089730807576,0.0,0.0,0.0,0.004985044865403789,0.0,0.0
IT-samordnare,Systemförvaltare m.fl.,2.3935185185185186,0.05555555555555555,0.19753086419753085,0.06790123456790123,0.037037037037037035,0.6358024691358025,1.1111111111111112,0.030864197530864196,0.030864197530864196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Systemdesigner,Mjukvaru- och systemutvecklare m.fl.,1.8653846153846154,0.7980769230769231,1.3846153846153846,0.25,0.3269230769230769,0.16346153846153846,0.9326923076923077,0.04807692307692308,0.028846153846153848,0.019230769230769232,0.009615384615384616,0.0,0.10576923076923077,0.0673076923076923,0.08653846153846154,0.009615384615384616,0.0,0.0,0.028846153846153848,0.0,0.028846153846153848,0.009615384615384616,0.0
Systemansvarig,Systemförvaltare m.fl.,2.736842105263158,0.13095238095238096,0.24404761904761904,0.24404761904761904,0.10714285714285714,0.4880952380952381,1.3392857142857142,0.005952380952380952,0.011904761904761904,0.005952380952380952,0.0,0.011904761904761904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005952380952380952,0.03571428571428571,0.0,0.0
Applikationskonsult,Mjukvaru- och systemutvecklare m.fl.,2.6433566433566433,0.17692307692307693,0.2923076923076923,0.2076923076923077,0.07692307692307693,0.36153846153846153,1.5615384615384615,0.007692307692307693,0.0,0.015384615384615385,0.007692307692307693,0.007692307692307693,0.007692307692307693,0.0,0.0,0.0,0.0,0.0,0.007692307692307693,0.007692307692307693,0.06923076923076923,0.0,0.0
"Driftledare, IT","Drifttekniker, IT",2.0384615384615388,0.09375,0.328125,0.171875,0.125,0.625,1.203125,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.046875,0.0,0.0
